question_id,model,dataset,gold_answer,greedy_choice,correct,in_all_clean,greedy_truncated,n_samples_clean,n_samples_with_letter,trace_length,rep_3,rep_4,rep_5,trace_divergence,answer_semantic_entropy,p_true,verbalized_confidence,hedging_formal,hedging_reasoning,hedging_combined,connector_density
medqa_test_00990,qwen3-4b,medqa,E,E,True,True,False,10,10,1026.4,0.11663625787283687,0.06592291595089855,0.03866774113790909,0.08216670155525208,0.0,1.0,1.0,0.014845392857305729,0.0063163860914459136,0.020750629977182713,0.0096973976374678
medqa_test_00202,qwen3-4b,medqa,D,C,False,True,False,10,10,824.4,0.19620102813399404,0.11037857052975115,0.06614008371737454,0.056607671082019806,0.0,0.9999151891196324,0.9,0.016515127918289567,0.009501291729183722,0.025384050009398234,0.015508740570672886
medqa_test_01258,qwen3-4b,medqa,A,A,True,True,False,10,10,1498.9,0.24856492845809072,0.1559469238937901,0.10292339508558442,0.05945507064461708,0.0,1.0,0.95,0.02859674834251853,0.01155233722748614,0.03767208079225938,0.01000554433037776
medqa_test_00277,qwen3-4b,medqa,D,D,True,True,False,10,10,829.1,0.09170674378593677,0.04288176092763237,0.023811700464524375,0.0690130889415741,0.0,1.670141985355567e-05,0.95,0.01449795264501363,0.0035682830425548895,0.017345139791435583,0.006881899174158104
medqa_test_00427,qwen3-4b,medqa,B,B,True,True,False,10,10,499.2,0.03780913326297699,0.01564840982277943,0.005560531165570026,0.04034699872136116,0.0,0.9995694648527527,1.0,0.007640553524149413,0.0020416669346053932,0.009682220458754805,0.013415668224019541
medqa_test_00015,qwen3-4b,medqa,B,A,False,False,False,9,9,2601.1,0.43238037700589677,0.31715242525552056,0.2317629782662872,0.031006908044219017,0.9910760598382222,1.0,0.7,0.03754334864070742,0.014102235826902806,0.048856263835507965,0.020915321911810565
medqa_test_01202,qwen3-4b,medqa,A,A,True,True,False,10,10,571.5,0.05823038731341105,0.023298006575736364,0.011117471784397103,0.05579162761569023,0.0,0.999999999782756,1.0,0.015173735333843094,0.002158350229295174,0.01673155777278332,0.0073908782482766345
medqa_test_01027,qwen3-4b,medqa,B,B,True,True,False,10,10,1000.2,0.18748072996442594,0.11144375671863252,0.06741373690484664,0.04053395614027977,0.0,6.224144622490015e-11,1.0,0.011485993590681677,0.01422360382954264,0.02528275677039151,0.021738021090314374
medqa_test_00827,qwen3-4b,medqa,B,B,True,True,False,10,10,968.3,0.0875479222956101,0.04076139162580755,0.021326213524391614,0.060367606580257416,0.0,0.0,0.95,0.011640837235495628,0.006767474558077388,0.017993000463014348,0.01390332455731937
medqa_test_00503,qwen3-4b,medqa,B,B,True,True,False,10,10,1631.3,0.3351056335492385,0.21531993547330167,0.13954558312334092,0.04558482766151428,0.8812908992306927,0.9999999998973812,0.95,0.005439131040641752,0.009401153442590456,0.014343064659215629,0.015836183035841056
