question_id,model,dataset,gold_answer,greedy_choice,correct,in_all_clean,greedy_truncated,n_samples_clean,n_samples_with_letter,trace_length,hedging_formal,hedging_reasoning,hedging_combined,connector_density,rep_3,rep_4,rep_5,trace_divergence,answer_semantic_entropy,p_true,verbalized_confidence
medqa_test_00990,llama-3.1-8b-instruct,medqa,E,E,True,True,False,10,10,414.2,0.015036225515512527,0.0,0.015036225515512527,0.001727614814936803,0.034371053906867365,0.019165075785428042,0.011802219783835643,0.10933077335357666,0.8812908992306927,0.9999998555057791,0.8
medqa_test_00202,llama-3.1-8b-instruct,medqa,D,C,False,True,False,10,10,340.4,0.026639745206627992,0.0,0.026639745206627992,0.0013826718634385132,0.06234903737304659,0.027393882849606886,0.01352715054804865,0.08908028155565262,0.0,0.9999251538932373,0.9
medqa_test_01258,llama-3.1-8b-instruct,medqa,A,A,True,True,False,10,10,375.1,0.026298986605120173,0.0,0.026298986605120173,0.001296251888687839,0.0357289288065019,0.015277190053594203,0.007964151922250839,0.1263090819120407,0.0,0.7056987963273263,0.8
medqa_test_00277,llama-3.1-8b-instruct,medqa,D,D,True,True,False,10,10,390.2,0.016868822248604302,0.0,0.016868822248604302,0.00038022813688212925,0.0477961059212085,0.028426850347086564,0.01973563136944547,0.1104506403207779,0.0,1.0,0.8
medqa_test_00427,llama-3.1-8b-instruct,medqa,B,B,True,True,False,10,10,304.0,0.0026881563798806215,0.0,0.0026881563798806215,0.005201148394715599,0.07611297836806366,0.05052723208148428,0.03577323505120165,0.07857406139373779,0.0,0.9999957775365288,1.0
medqa_test_00015,llama-3.1-8b-instruct,medqa,B,A,False,True,False,10,10,541.2,0.02630829710867354,0.0,0.02630829710867354,0.0035865146563076175,0.10112845941317597,0.06046125524467415,0.03767282585710528,0.09059278666973114,0.4689955935892812,1.0,0.8
medqa_test_01202,llama-3.1-8b-instruct,medqa,A,A,True,True,False,10,10,256.1,0.02207401886107955,0.0,0.02207401886107955,0.0011591645190397863,0.03748729717910183,0.01825542377495911,0.011497490126604592,0.09842702746391296,0.4689955935892812,0.9525019532390137,0.8
medqa_test_01027,llama-3.1-8b-instruct,medqa,B,B,True,True,False,10,9,384.6,0.010462570930022765,0.0,0.010462570930022765,0.008781569827113277,0.11523625526592222,0.06029475970793979,0.03121724412207434,0.0934925526380539,1.4466166676282082,0.020332353342658753,0.8
medqa_test_00827,llama-3.1-8b-instruct,medqa,B,B,True,True,False,10,10,409.8,0.020600068939087536,0.0,0.020600068939087536,0.00046396883328160283,0.03480698583603768,0.016266709779509125,0.008004431115511135,0.11194020509719849,0.0,0.9999687981362284,0.9
medqa_test_00503,llama-3.1-8b-instruct,medqa,B,C,False,True,False,10,10,360.5,0.016504564238371648,0.0,0.016504564238371648,0.0037828928858634077,0.11644955203622147,0.06466882045975349,0.037252520323778335,0.11400346457958221,1.5709505944546684,1.0,1.0
medqa_test_00325,llama-3.1-8b-instruct,medqa,C,C,True,True,False,10,10,539.1,0.017476344536038836,0.0,0.017476344536038836,0.0004974138692969896,0.055330094057764234,0.02371197718545187,0.012578256258244847,0.09143278002738953,0.0,0.9999977410906098,0.9
medqa_test_00681,llama-3.1-8b-instruct,medqa,B,B,True,True,False,10,10,448.7,0.018516249489717574,0.000411522633744856,0.018927772123462427,0.00043149495118394046,0.04683518906799587,0.02106667334970259,0.010039055483414805,0.10718904435634613,0.0,0.9997965729976994,0.8
medqa_test_00932,llama-3.1-8b-instruct,medqa,E,E,True,True,False,10,10,432.5,0.015441117218532955,0.0,0.015441117218532955,0.0010023762198502987,0.037356953661743394,0.01669864117223544,0.009176095030534525,0.10842293500900269,1.0,0.9966047374289932,0.8
medqa_test_00387,llama-3.1-8b-instruct,medqa,B,B,True,True,False,10,10,351.8,0.012887427335975829,0.0,0.012887427335975829,0.00155085950126412,0.038535961403198093,0.019110996297145976,0.012059709848969069,0.10902521014213562,0.4689955935892812,0.7305775909815178,0.8
medqa_test_00235,llama-3.1-8b-instruct,medqa,B,B,True,True,False,10,10,382.6,0.004061189189961038,0.0,0.004061189189961038,0.001413859719852702,0.17401755040056816,0.11652715955483228,0.08405849420054609,0.05408323556184769,0.0,0.9999989322969024,1.0
medqa_test_00066,llama-3.1-8b-instruct,medqa,D,D,True,True,False,10,10,304.7,0.02214978780158496,0.0,0.02214978780158496,0.004127791258077063,0.03966003872522102,0.017197956681634118,0.0074355290012555805,0.09057087451219559,0.0,1.0,0.8
medqa_test_00347,llama-3.1-8b-instruct,medqa,A,A,True,True,False,10,10,451.5,0.01574713041871323,0.0,0.01574713041871323,0.0006694996531496752,0.041834433342424,0.01767348630334096,0.007602446905669791,0.0656220093369484,1.1567796494470395,0.3488822186054458,0.9
